lat,lon,alt,is_broken,is_active,dot,state,city,street,country,last_checked,date
-73.988281,40.71883,0,False,True,working,NY,New York,114 Delancey St,USA,Checked 142 minutes ago,2020-01-01
-74.00509,40.728794,0,False,True,working,NY,New York,208 Varick St,USA,Checked 142 minutes ago,2020-01-02
-73.993408,40.729197,0,False,True,working,NY,New York,724 Broadway,USA,Checked 142 minutes ago,2020-01-03
-73.985855,40.726555,0,False,True,working,NY,New York,102 1st Ave,USA,Checked 142 minutes ago,2020-01-04
-73.991692,40.691383,0,True,True,broken,NY,Brooklyn,82 Court St,USA,Checked 142 minutes ago,2020-01-05
-73.982277,40.731014,0,False,True,working,NY,New York,404 E 14th St,USA,Checked 142 minutes ago,2020-01-06
-73.996726,40.737864,0,False,True,working,NY,New York,541 6th Ave,USA,Checked 142 minutes ago,2020-01-07
-73.990517,40.736977,0,True,True,broken,NY,New York,39 Union Square W,USA,Checked 142 minutes ago,2020-01-08
-74.0387,40.726501,0,False,True,working,NJ,Jersey City,30 Mall Dr W,USA,Checked 142 minutes ago,2020-01-09
-74.043057,40.719843,0,True,True,broken,NJ,Jersey City,325 Grove St,USA,Checked 142 minutes ago,2020-01-10
-73.98067,40.688963,0,True,True,broken,NY,Brooklyn,395 Flatbush Ave Exten,USA,Checked 142 minutes ago,2020-01-11
-73.993286,40.741928,0,False,True,working,NY,New York,686 6th Ave,USA,Checked 142 minutes ago,2020-01-12
-73.987856,40.740654,0,True,True,broken,NY,New York,26 E 23rd St,USA,Checked 142 minutes ago,2020-01-13
-73.979165,40.736945,0,False,True,working,NY,New York,336 E 23rd St,USA,Checked 142 minutes ago,2020-01-14
-74.0426,40.729858,0,True,True,broken,NJ,Jersey City,197 12th St,USA,Checked 142 minutes ago,2020-01-15
-74.030396,40.739906,0,True,True,broken,NJ,Hoboken,234 Washington St,USA,Checked 142 minutes ago,2020-01-16
-73.98393,40.743156,0,False,True,working,NY,New York,401 Park Ave S,USA,Checked 142 minutes ago,2020-01-17
-73.990845,40.745995,0,False,True,working,NY,Manhattan,809/811 6th Ave/28th,USA,Checked 142 minutes ago,2020-01-18
-73.997088,40.747569,0,True,True,broken,NY,Manhattan,335 8th Ave,USA,Checked 142 minutes ago,2020-01-19
-73.959017,40.70893,0,False,True,working,NY,Brooklyn,267 Broadway,USA,Checked 142 minutes ago,2020-01-20
-74.053314,40.717419,0,False,True,working,NJ,Jersey City,428 Grand St,USA,Checked 142 minutes ago,2020-01-21
-73.978949,40.744904,0,False,True,working,NY,New York,480 3rd Ave,USA,Checked 142 minutes ago,2020-01-22
-73.990724,40.750544,0,False,True,working,NY,New York,429 7th Ave,USA,Checked 142 minutes ago,2020-01-23
-73.999161,40.673519,0,False,True,working,NY,Brooklyn,357 Hamilton Ave,USA,Checked 142 minutes ago,2020-01-24
-73.989538,40.750779,0,False,True,working,NY,New York,151 West 34th Street,USA,Checked 142 minutes ago,2020-01-25
-73.986819,40.750816,0,False,True,working,NY,New York,972 6th Ave,USA,Checked 142 minutes ago,2020-01-26
-73.993004,40.75251,0,False,True,working,NY,Manhattan,490 8th Ave,USA,Checked 142 minutes ago,2020-01-27
-73.954109,40.730389,0,True,True,broken,NY,Brooklyn,904 Manhattan Ave,USA,Checked 142 minutes ago,2020-01-28
-73.966927,40.681351,0,True,True,broken,NY,Brooklyn,840 Atlantic Ave,USA,Checked 142 minutes ago,2020-01-29
-73.988188,40.754673,0,False,True,working,NY,New York,556 7th Ave,USA,Checked 142 minutes ago,2020-01-30
-73.98028,40.753042,0,False,True,working,NY,New York,18 E 42nd St,USA,Checked 142 minutes ago,2020-01-31
-73.986854,40.669625,0,False,True,working,NY,Brooklyn,289 9th St,USA,Checked 142 minutes ago,2020-02-01
-74.05078,40.743783,0,False,True,working,NJ,Jersey City,260 Central Ave,USA,Checked 142 minutes ago,2020-02-02
-73.988945,40.758118,0,True,True,broken,NY,New York,688 8th Ave Frnt 1,USA,Checked 142 minutes ago,2020-02-03
-73.985452,40.757385,0,False,True,working,NY,New York,1528 Broadway,USA,Checked 142 minutes ago,2020-02-04
-73.943154,40.711849,0,True,True,broken,NY,Brooklyn,741 Grand St,USA,Checked 142 minutes ago,2020-02-05
-74.06469,40.731762,0,False,True,working,NJ,Jersey City,2873 John F Kennedy Blvd,USA,Checked 142 minutes ago,2020-02-06
-73.977799,40.756223,0,False,True,working,NY,Manhattan,14 E 47th St,USA,Checked 142 minutes ago,2020-02-07
-73.98185,40.757629,0,False,True,working,NY,New York,1188 6th Ave,USA,Checked 142 minutes ago,2020-02-08
-73.943489,40.701332,0,False,True,working,NY,Brooklyn,700 Broadway,USA,Checked 142 minutes ago,2020-02-09
-73.940483,40.72208,0,False,True,working,NY,Brooklyn,652 Meeker Ave,USA,Checked 142 minutes ago,2020-02-10
-73.970751,40.756163,0,True,True,broken,NY,New York,824 3rd Avenue 50th St,USA,Checked 142 minutes ago,2020-02-11
-73.983757,40.762244,0,False,True,working,NY,Manhattan,1651 Broadway,USA,Checked 142 minutes ago,2020-02-12
-74.044594,40.756408,0,False,True,working,NJ,Jersey City,737 Secaucus Rd,USA,Checked 142 minutes ago,2020-02-13
-73.95034,40.680573,0,True,True,broken,NY,Brooklyn,1275 Fulton Steet,USA,Checked 142 minutes ago,2020-02-14
-74.078182,40.711435,0,True,True,broken,NJ,Jersey City,390 Martin Luther King Drive,USA,Checked 142 minutes ago,2020-02-15
-73.983273,40.765877,0,True,True,broken,NY,New York,946 8th Ave,USA,Checked 142 minutes ago,2020-02-16
-73.967323,40.760838,0,False,True,working,NY,New York,966 3rd Ave,USA,Checked 142 minutes ago,2020-02-17
-74.005402,40.653751,0,False,True,working,NY,Brooklyn,968 4th Ave,USA,Checked 142 minutes ago,2020-02-18
-73.940102,40.680096,0,False,True,working,NY,Brooklyn,1531 Fulton St,USA,Checked 142 minutes ago,2020-02-19
-73.959984,40.663731,0,True,True,broken,NY,Brooklyn,57 Empire Blvd,USA,Checked 142 minutes ago,2020-02-20
-74.084831,40.722092,0,False,True,working,NJ,Jersey City,891 Cummunipaw Ave,USA,Checked 142 minutes ago,2020-02-21
-73.957161,40.765888,0,False,True,working,NY,New York,1286 1st Ave,USA,Checked 142 minutes ago,2020-02-22
-74.031746,40.77544,0,False,True,working,NJ,Union City,3215 Kennedy Blvd,USA,Checked 142 minutes ago,2020-02-23
-73.919655,40.699417,0,False,True,working,NY,Brooklyn,428 Knickerbocker Ave,USA,Checked 142 minutes ago,2020-02-24
-73.96169,40.654762,0,False,True,working,NY,Brooklyn,180 Parkside Ave,USA,Checked 142 minutes ago,2020-02-25
-73.926903,40.74366,0,False,True,working,NY,Long Island City,33-80 Queens Blvd,USA,Checked 142 minutes ago,2020-02-26
-73.982472,40.777901,0,False,True,working,NY,New York,2049 Broadway,USA,Checked 142 minutes ago,2020-02-27
-73.921887,40.689106,0,False,True,working,NY,Brooklyn,1380 Broadway,USA,Checked 142 minutes ago,2020-02-28
-73.987686,40.644569,0,False,True,working,NY,Brooklyn,3525 Fort Hamilton Pky,USA,Checked 142 minutes ago,2020-02-29
-73.930779,40.669163,0,False,True,working,NY,Brooklyn,1133 Eastern Parkway,USA,Checked 142 minutes ago,2020-03-01
-73.922554,40.677324,0,False,True,working,NY,Brooklyn,1883 Atlantic Avenue,USA,Checked 142 minutes ago,2020-03-02
-74.102867,40.694359,0,False,True,working,NJ,Bayonne,157 W 63rd St,USA,Checked 142 minutes ago,2020-03-03
-73.954515,40.777789,0,False,True,working,NY,New York,1499 3rd Ave,USA,Checked 143 minutes ago,2020-03-04
-73.9067,40.726299,0,True,True,broken,NY,Maspeth,59-60 55th Road,USA,Checked 143 minutes ago,2020-03-05
-73.926186,40.760616,0,True,True,broken,NY,Long Island City,3255 31st St,USA,Checked 143 minutes ago,2020-03-06
-73.930984,40.766312,0,False,True,working,NY,Long Island City,3146 21st St,USA,Checked 142 minutes ago,2020-03-07
-73.930542,40.656101,0,False,True,working,NY,Brooklyn,701 Utica Ave,USA,Checked 143 minutes ago,2020-03-08
-74.027039,40.633682,0,False,True,working,NY,Brooklyn,7124 3rd Ave,USA,Checked 143 minutes ago,2020-03-09
-73.918343,40.759495,0,False,True,working,NY,Astoria,31-67 Steinway St,USA,Checked 143 minutes ago,2020-03-10
-73.968124,40.635811,0,False,True,working,NY,Brooklyn,880 Coney Island Avenue,USA,Checked 142 minutes ago,2020-03-11
-73.912406,40.669307,0,False,True,working,NY,Brooklyn,1642 Pitkin Ave,USA,Checked 143 minutes ago,2020-03-12
-73.908358,40.75348,0,True,True,broken,NY,Woodside,51-35 Northern Blvd,USA,Checked 143 minutes ago,2020-03-13
-73.947028,40.784657,0,False,True,working,NY,New York,1871 2nd Ave,USA,Checked 143 minutes ago,2020-03-14
-74.042412,40.792986,0,False,True,working,NJ,Secaucus,400 Park Place,USA,Checked 142 minutes ago,2020-03-15
-73.972343,40.794389,0,True,True,broken,NY,New York,2549 Broadway,USA,Checked 143 minutes ago,2020-03-16
-73.923203,40.652718,0,False,True,working,NY,Brooklyn,5707-13 Church Ave,USA,Checked 143 minutes ago,2020-03-17
-73.897746,40.677548,0,False,True,working,NY,Brooklyn,15 Jamaica Ave,USA,Checked 143 minutes ago,2020-03-18
-73.946077,40.789984,0,False,True,working,NY,New York,1872 3rd Ave,USA,Checked 142 minutes ago,2020-03-19
-73.947781,40.632336,0,False,True,working,NY,Brooklyn,2154 Nostrand Ave,USA,Checked 143 minutes ago,2020-03-20
-73.967846,40.800014,0,True,True,broken,NY,New York,2726 Broadway,USA,Checked 143 minutes ago,2020-03-21
-74.027731,40.622159,0,True,True,broken,NY,Brooklyn,430 86th St,USA,Checked 143 minutes ago,2020-03-22
-73.9217,40.644669,0,False,True,working,NY,New York,5804 Claredon Rd,USA,Checked 142 minutes ago,2020-03-23
-74.016922,40.806927,0,False,True,working,NJ,North Bergen,8101 Tonnelle Ave,USA,Checked 143 minutes ago,2020-03-24
-73.912183,40.77512,0,False,True,working,NY,Astoria,22 50 31st St,USA,Checked 143 minutes ago,2020-03-25
-73.890678,40.676235,0,False,True,working,NY,Brooklyn,2800 Atlantic Ave,USA,Checked 143 minutes ago,2020-03-26
-73.880272,40.701706,0,False,True,working,NY,Glendale,70-02 Cooper Ave,USA,Checked 142 minutes ago,2020-03-27
-73.883179,40.738327,0,False,True,working,NY,Elmhurst,80-03 Queens Blvd,USA,Checked 143 minutes ago,2020-03-28
-74.11721,40.665562,0,False,True,working,NJ,Bayonne,537 Broadway,USA,Checked 143 minutes ago,2020-03-29
-74.076324,40.629929,0,False,True,working,NY,Staten Island,501 Bay St,USA,Checked 143 minutes ago,2020-03-30
-73.883865,40.748062,0,False,True,working,NY,Jackson Heights,37-59 82nd St,USA,Checked 142 minutes ago,2020-03-31
-73.939789,40.798618,0,False,True,working,NY,New York,2142 3rd Ave,USA,Checked 143 minutes ago,2020-04-01
-73.92865,40.63208,0,False,True,working,NY,Brooklyn,1656 Utica Ave,USA,Checked 143 minutes ago,2020-04-02
-73.982658,40.612892,0,False,True,working,NY,Brooklyn,6620 Bay Pky,USA,Checked 143 minutes ago,2020-04-03
-73.879116,40.679871,0,False,True,working,NY,Brooklyn,3143 Atlantic Ave,USA,Checked 142 minutes ago,2020-04-04
-73.983818,40.813576,0,True,True,broken,NJ,Edgewater,River Road,USA,Checked 143 minutes ago,2020-04-05
-73.889664,40.657864,0,False,True,working,NY,Brooklyn,819 Pennsylvania Ave,USA,Checked 143 minutes ago,2020-04-06
-73.915535,40.633762,0,False,True,working,NY,Brooklyn,7602 Flatlands Ave,USA,Checked 143 minutes ago,2020-04-07
